                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.57632,                0.39808,                0.90723,                0.98351,                0.97458,                0.99115,                0.86871,                0.57565,                 0.3583,                0.91456,              0.0017743,              0.0017743,              0.0017743
                    116,                0.57312,                0.38697,                0.87709,                0.98896,                0.98305,                0.99281,                0.86211,                0.57438,                0.36229,                0.91039,              0.0017723,              0.0017723,              0.0017723
                    117,                0.53935,                0.38176,                0.89546,                0.98737,                0.98305,                0.99417,                0.86739,                0.59244,                0.34448,                 0.9251,              0.0017703,              0.0017703,              0.0017703
                    118,                  0.516,                0.36979,                0.88149,                0.96441,                0.99153,                0.99312,                0.86753,                0.57566,                0.34623,                0.91173,              0.0017683,              0.0017683,              0.0017683
                    119,                0.50279,                0.34955,                0.87366,                 0.9731,                0.99153,                0.99347,                0.86774,                0.57287,                0.33289,                 0.9073,              0.0017664,              0.0017664,              0.0017664
                    120,                0.57991,                0.39567,                0.90779,                 0.9791,                0.98305,                0.99407,                0.86179,                0.58312,                0.33498,                0.91109,              0.0017644,              0.0017644,              0.0017644
                    121,                0.49143,                0.34076,                0.87519,                0.98735,                0.98305,                0.99417,                0.86531,                 0.5846,                0.32597,                0.91255,              0.0017624,              0.0017624,              0.0017624
                    122,                0.50492,                0.33299,                 0.8763,                      1,                 0.9486,                0.98187,                0.85671,                0.56215,                0.37739,                0.89083,              0.0017604,              0.0017604,              0.0017604
                    123,                0.53515,                0.36022,                0.92915,                 0.9783,                0.92373,                 0.9518,                 0.8094,                0.65694,                0.48754,                0.94462,              0.0017584,              0.0017584,              0.0017584
                    124,                0.57019,                0.39047,                0.87989,                0.89149,                 0.9051,                0.94022,                0.77832,                0.70033,                0.59458,                0.96518,              0.0017565,              0.0017565,              0.0017565
                    125,                0.55442,                 0.3787,                0.89049,                0.90028,                0.90678,                0.94164,                0.78937,                0.69897,                0.57526,                0.96585,              0.0017545,              0.0017545,              0.0017545
                    126,                0.55885,                0.39663,                0.88668,                0.94547,                0.94068,                0.97974,                0.80483,                0.69025,                 0.4847,                0.95703,              0.0017525,              0.0017525,              0.0017525
                    127,                0.53535,                0.36189,                0.89131,                0.98985,                0.98305,                0.99458,                 0.8538,                0.62995,                0.36009,                 0.9183,              0.0017505,              0.0017505,              0.0017505
                    128,                0.53955,                0.38536,                 0.9002,                0.99139,                0.97582,                0.99466,                0.85883,                 0.6081,                0.33635,                 0.9133,              0.0017485,              0.0017485,              0.0017485
                    129,                0.57613,                0.36459,                0.90328,                0.99144,                0.98102,                0.99441,                0.86094,                0.61326,                0.33487,                0.91506,              0.0017466,              0.0017466,              0.0017466
                    130,                0.50911,                0.33915,                0.86058,                0.96986,                0.98305,                0.99391,                0.85982,                0.59682,                0.34185,                0.90936,              0.0017446,              0.0017446,              0.0017446
                    131,                0.49713,                0.34293,                0.88201,                0.97497,                0.99025,                0.99391,                0.85263,                0.57988,                0.34795,                0.90766,              0.0017426,              0.0017426,              0.0017426
                    132,                0.52855,                0.35995,                0.86944,                0.98943,                0.99153,                0.99483,                0.85946,                0.58412,                0.31386,                0.90625,              0.0017406,              0.0017406,              0.0017406
                    133,                0.47687,                 0.3367,                0.85156,                0.99688,                0.99153,                  0.995,                0.86156,                0.58696,                0.30679,                0.90817,              0.0017386,              0.0017386,              0.0017386
                    134,                 0.5807,                0.36407,                0.94617,                0.98638,                0.99153,                0.99466,                0.86144,                 0.5956,                0.32185,                 0.9001,              0.0017367,              0.0017367,              0.0017367
                    135,                0.54604,                0.37206,                0.88594,                 0.9852,                0.98305,                0.99398,                0.85652,                0.60003,                0.33474,                 0.9043,              0.0017347,              0.0017347,              0.0017347
                    136,                0.49509,                0.36962,                0.88275,                0.98319,                0.99107,                0.99398,                0.84308,                0.60294,                0.33532,                 0.9189,              0.0017327,              0.0017327,              0.0017327
                    137,                0.56048,                0.36393,                0.89277,                0.98317,                0.99036,                0.99441,                0.85399,                0.61155,                  0.322,                0.92114,              0.0017307,              0.0017307,              0.0017307
                    138,                0.50142,                0.34811,                0.86456,                0.98097,                0.97458,                0.99416,                0.85165,                0.63021,                0.35468,                0.93629,              0.0017287,              0.0017287,              0.0017287
                    139,                0.49365,                0.34105,                0.88645,                0.97092,                0.99153,                0.99354,                 0.8605,                0.58642,                0.35405,                0.91169,              0.0017268,              0.0017268,              0.0017268
                    140,                0.55807,                0.36991,                0.87935,                0.98319,                0.99107,                0.98834,                0.85186,                0.61871,                0.36089,                0.92658,              0.0017248,              0.0017248,              0.0017248
                    141,                 0.4994,                0.34817,                0.85859,                0.98213,                0.99153,                0.98841,                0.85032,                0.59148,                0.34315,                0.91154,              0.0017228,              0.0017228,              0.0017228
                    142,                0.51877,                0.34247,                0.86309,                0.98201,                0.99153,                0.99458,                0.84861,                0.58801,                0.31095,                0.91496,              0.0017208,              0.0017208,              0.0017208
                    143,                0.50542,                0.34855,                 0.8782,                0.98212,                0.99153,                0.99466,                0.85542,                 0.6134,                0.32305,                0.92421,              0.0017188,              0.0017188,              0.0017188
                    144,                0.56708,                0.38069,                0.87625,                0.99152,                0.99107,                0.99483,                0.86049,                0.60553,                0.32792,                0.92687,              0.0017169,              0.0017169,              0.0017169
                    145,                0.53519,                0.39046,                0.91234,                0.99074,                0.98305,                0.99483,                0.85668,                0.61852,                0.33188,                0.93702,              0.0017149,              0.0017149,              0.0017149
                    146,                0.52758,                0.37287,                0.89212,                0.98671,                0.97458,                0.99333,                0.86684,                0.59065,                0.33806,                 0.9211,              0.0017129,              0.0017129,              0.0017129
                    147,                0.55826,                0.36278,                 0.8884,                0.98685,                0.97458,                0.99037,                0.85514,                0.61837,                0.33723,                 0.9368,              0.0017109,              0.0017109,              0.0017109
